iter	Passed	Remaining
0	142	142223
1	144	71903
2	145	48333
3	146	36529
4	148	29453
5	149	24735
6	150	21378
7	152	18872
8	153	16927
9	155	15367
10	157	14116
11	158	13059
12	160	12207
13	162	11462
14	164	10783
15	166	10218
16	168	9718
17	169	9261
18	171	8851
19	172	8469
20	174	8139
21	177	7906
22	179	7627
23	181	7367
24	182	7123
25	184	6906
26	186	6721
27	188	6544
28	190	6375
29	192	6216
30	193	6062
31	195	5916
32	197	5787
33	199	5675
34	201	5558
35	203	5444
36	205	5339
37	206	5233
38	208	5137
39	210	5045
40	212	4960
41	213	4871
42	215	4789
43	216	4709
44	218	4633
45	219	4560
46	221	4491
47	223	4431
48	225	4369
49	227	4314
50	228	4255
51	230	4196
52	231	4144
53	233	4096
54	235	4048
55	237	4001
56	239	3959
57	241	3927
58	243	3890
59	245	3852
60	247	3811
61	249	3773
62	251	3736
63	253	3702
64	254	3664
65	256	3630
66	258	3596
67	259	3550
68	260	3515
69	262	3485
70	264	3461
71	266	3433
72	268	3406
73	269	3374
74	271	3346
75	272	3316
76	274	3292
77	276	3268
78	278	3242
79	279	3217
80	281	3189
81	282	3164
82	284	3143
83	287	3129
84	288	3107
85	290	3088
86	292	3064
87	293	3044
88	295	3025
89	297	3008
90	299	2992
91	301	2972
92	302	2950
93	304	2931
94	305	2913
95	307	2895
96	309	2877
97	310	2861
98	312	2842
99	313	2824
100	315	2807
101	316	2787
102	318	2771
103	320	2758
104	321	2742
105	323	2727
106	324	2711
107	326	2698
108	328	2683
109	329	2669
110	331	2655
111	333	2640
112	334	2625
113	336	2612
114	338	2601
115	339	2584
116	340	2571
117	342	2559
118	343	2544
119	345	2530
120	346	2518
121	348	2506
122	349	2489
123	350	2478
124	352	2466
125	353	2455
126	355	2442
127	356	2428
128	357	2415
129	359	2406
130	361	2396
131	362	2383
132	363	2370
133	365	2359
134	366	2348
135	368	2338
136	369	2326
137	370	2314
138	371	2303
139	373	2294
140	374	2283
141	376	2272
142	377	2260
143	378	2250
144	380	2241
145	381	2230
146	382	2219
147	383	2209
148	385	2200
149	386	2189
150	387	2179
151	388	2170
152	390	2161
153	391	2151
154	392	2141
155	394	2132
156	395	2124
157	397	2115
158	398	2106
159	400	2100
160	401	2093
161	402	2084
162	404	2075
163	405	2067
164	407	2061
165	408	2052
166	409	2042
167	410	2034
168	412	2028
